system,id,type,answerable,question,refused,answer,sources,gold,gold_points,coding_correctness,coding_groundedness
prod-sol,S-REC-001,S-REC,True,What is the punishment for dishonour of a cheque in Pakistan?,False,"Under **section 489-F of the Pakistan Penal Code**, dishonestly issuing a cheque for repayment of a loan or fulfillment of an obligation, which is then dishonoured, is punishable with:

- **Imprisonment for up to three years**
- **A fine**
- **Both imprisonment and a fine**

Not every bounced cheque constitutes an offence. The cheque must be valid, issued with dishonest intent, connected to a loan or financial obligation, and dishonoured upon presentation. The issuer may avoid liability by proving that arrangements had been made for payment and the bank was at fault for not honouring the cheque.
Sources:
- 2023 LHC 2938 — Hayat Kimya Pakistan Pvt Ltd through Fatih Ustunel Vs Humair Yusuf etc (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2023LHC2938.pdf (text retrieved 2026-08-10)
- 2022 LHC 1464 — Waqar Hussain Bhatti Vs The State etc. (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2022LHC1464.pdf (text retrieved 2026-08-10)
- 2025 LHC 5337 — Tariq Rehman Chohan Vs The State etc. (Mr. Justice Tanveer Ahmad Sheikh) — https://sys.lhc.gov.pk/appjudgments/2025LHC5337.pdf (text retrieved 2026-08-10)
- 2022 LHC 8156 — Kabir Akber Vs The State etc (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2022LHC8156.pdf (text retrieved 2026-08-10)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.",2023 LHC 2938 — Hayat Kimya Pakistan Pvt Ltd through Fatih U; 2022 LHC 1464 — Waqar Hussain Bhatti Vs The State etc. (Mr. ; 2025 LHC 5337 — Tariq Rehman Chohan Vs The State etc. (Mr. J; 2022 LHC 8156 — Kabir Akber Vs The State etc (Mr. Justice Ta,"[{""doc_type"": ""statute"", ""title"": ""Pakistan Penal Code 1860"", ""section"": ""489-F""}]","dishonestly issuing a cheque which is dishonoured on presentation | imprisonment which may extend to three years, or fine, or both",,
prod-sol,S-REC-002,S-REC,True,What is the punishment for theft under Pakistani law?,False,"The provided Pakistan Penal Code extracts do not state the general punishment for theft. They only indicate that theft under PPC section 382 falls within the cognizance of the Court of Session or High Court.

Separately, under the Pakistan Navy Ordinance, 1961—which applies to persons subject to naval service law—theft of specified government, service, or service-person property is punishable with “long imprisonment” and a fine.
Sources:
- Pakistan Penal Code (PPC),1860 (Under Review), p. 145 — https://pakistancode.gov.pk/pdffiles/administratord5622ea3f15bfa00b17d2cf7770a8434.pdf (text retrieved 2026-08-06)
- Conciliation Courts Ordinance, 1961 — https://pakistancode.gov.pk/pdffiles/administratorf161addf2835d80f9c3e460daa990828.pdf (text retrieved 2026-08-07)
- Pakistan Navy Ordinance, 1961, p. 29 — https://pakistancode.gov.pk/pdffiles/administratore88935957ac2a06680301db2f6179d9f.pdf (text retrieved 2026-08-07)
- Code of Criminal Procedure (CrPC), 1898 (Under Review), p. 295 — https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf (text retrieved 2026-08-06)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.","Pakistan Penal Code (PPC),1860 (Under Review); Conciliation Courts Ordinance, 1961; Pakistan Navy Ordinance, 1961; Code of Criminal Procedure (CrPC), 1898 (Under Review)","[{""doc_type"": ""statute"", ""title"": ""Pakistan Penal Code 1860"", ""section"": ""379""}, {""doc_type"": ""statute"", ""title"": ""Pakistan Penal Code 1860"", ""section"": ""378"", ""optional"": true}]","imprisonment which may extend to three years, or fine, or both | theft defined as dishonest taking of movable property without consent",,
prod-sol,S-REC-003,S-REC,True,What is the punishment for criminal breach of trust?,False,"Under Section 406 of the Pakistan Penal Code, a person who commits criminal breach of trust—as defined in Section 405—may be punished with imprisonment of either description for up to **seven years**, a **fine**, or **both**.
Sources:
- Pakistan Penal Code (PPC),1860 (Under Review), pp. 144, 145 — https://pakistancode.gov.pk/pdffiles/administratord5622ea3f15bfa00b17d2cf7770a8434.pdf (text retrieved 2026-08-06)
- Estacode, p. 862 — https://pakistancode.gov.pk/pdffiles/administrator41708b287250bc3afc9b10806054551e.pdf (text retrieved 2026-08-07)
- National Accountability Ordinance, 1999, p. 16 — https://pakistancode.gov.pk/pdffiles/administrator889746414e53d53e4398264cda458947.pdf (text retrieved 2026-08-06)
- 2026 LHC 2111 — Muhammad Sarwar Vs The State etc. (Mr. Justice Muhammad Jawad Zafar) — https://sys.lhc.gov.pk/appjudgments/2026LHC2111.pdf (text retrieved 2026-08-10)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.","Pakistan Penal Code (PPC),1860 (Under Review); Estacode; National Accountability Ordinance, 1999; 2026 LHC 2111 — Muhammad Sarwar Vs The State etc. (Mr. Justi","[{""doc_type"": ""statute"", ""title"": ""Pakistan Penal Code 1860"", ""section"": ""406""}]","imprisonment which may extend to seven years, or fine, or both",,
prod-sol,S-REC-004,S-REC,True,How is defamation defined in the Pakistan Penal Code and what is its punishment?,False,"Under section 499 of the Pakistan Penal Code (PPC), defamation occurs when a person, through spoken or written words, signs, or visible representations, makes an imputation about another person intending to harm—or knowing or having reason to believe it will harm—that person’s reputation. The section contains four Explanations and ten Exceptions.

Under section 500 PPC, the punishment is:

- Imprisonment for up to **two years**, or a fine, or both.
- For the **originator of the defamatory imputation**, imprisonment for up to **five years**, or a fine of at least **Rs.100,000**, or both.
Sources:
- 2022 LHC 1786 — Meera Shafi etc Vs FOP etc (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2022LHC1786.pdf (text retrieved 2026-08-10)
- 2022 LHC 6401 — Usman Zulfiqar Khan Vs The State etc (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2022LHC6401.pdf (text retrieved 2026-08-10)
- Defamation Ordinance, 2002, p. 1 — https://pakistancode.gov.pk/pdffiles/administrator741de22e0685408278606962079d12b2.pdf (text retrieved 2026-08-06)
- Code of Criminal Procedure (CrPC), 1898 (Under Review), p. 127 — https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf (text retrieved 2026-08-06)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.","2022 LHC 1786 — Meera Shafi etc Vs FOP etc (Mr. Justice Tari; 2022 LHC 6401 — Usman Zulfiqar Khan Vs The State etc (Mr. Ju; Defamation Ordinance, 2002; Code of Criminal Procedure (CrPC), 1898 (Under Review)","[{""doc_type"": ""statute"", ""title"": ""Pakistan Penal Code 1860"", ""section"": ""499""}, {""doc_type"": ""statute"", ""title"": ""Pakistan Penal Code 1860"", ""section"": ""500""}]","imputation concerning a person intending or knowing it to harm reputation | punishment may extend to two years imprisonment, or fine, or both",,
prod-sol,S-REC-005,S-REC,True,What is the punishment for qatl-e-amd (intentional murder) in Pakistan?,False,"Under Pakistan law, qatl-e-amd (intentional murder) is punishable under section 302 of the Pakistan Penal Code by **qisas, death, imprisonment for life, or imprisonment for up to 25 years**, depending on the applicable legal and evidentiary requirements.

The Lahore High Court judgment cited explains that:

- **Qisas under section 302(a)** applies only when the strict evidentiary requirements are met, such as a voluntary and truthful confession before a competent court or the required witness testimony.
- If those standards are not met, the conviction may fall under **section 302(b) as ta’zir**.
- The offence is **non-bailable**, and it is tried by the **Court of Session**.
Sources:
- Pakistan Penal Code (PPC),1860 (Under Review), pp. 111, 112 — https://pakistancode.gov.pk/pdffiles/administratord5622ea3f15bfa00b17d2cf7770a8434.pdf (text retrieved 2026-08-06)
- 2025 LHC 5436 — Jamshaid . etc. Vs The State (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2025LHC5436.pdf (text retrieved 2026-08-10)
- Code of Criminal Procedure (CrPC), 1898 (Under Review), p. 234 — https://pakistancode.gov.pk/pdffiles/administrator7db1e56f0f1d39a6e67573ec6b0944e2.pdf (text retrieved 2026-08-06)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.","Pakistan Penal Code (PPC),1860 (Under Review); 2025 LHC 5436 — Jamshaid . etc. Vs The State (Mr. Justice Ta; Code of Criminal Procedure (CrPC), 1898 (Under Review)","[{""doc_type"": ""statute"", ""title"": ""Pakistan Penal Code 1860"", ""section"": ""302""}]","death as qisas, or death or life imprisonment as ta'zir | punishment depends on the mode of proof",,
prod-sol,S-INT-006,S-INT,True,What are the conditions for granting bail in a non-bailable offence?,False,"For a **non-bailable offence**, bail depends on the circumstances and is not an absolute right:

- If the offence **does not fall within the prohibitory clause of section 497 Cr.P.C.**, the general rule is **“bail, not jail,”** and refusal is exceptional. Factors such as the absence of a previous conviction may support bail.
- For **pre-arrest bail**, which is extraordinary relief, the accused must:
  1. establish a prima facie case for bail;
  2. show reasonable grounds to believe that they are not guilty, or that the case requires **further inquiry** under section 497(2) Cr.P.C.; and
  3. demonstrate **mala fide or ulterior motive** on the part of the complainant and investigating agency.

The provided decisions do not set out the complete test for post-arrest bail where an offence falls within section 497’s prohibitory clause.
Sources:
- 2025 LHC 846 — MUHAMMAD RIZWAN VS STATE ETC (Mr. Justice Muhammad Jawad Zafar) — https://sys.lhc.gov.pk/appjudgments/2025LHC846.pdf (text retrieved 2026-08-10)
- 2026 LHC 4593 — Tanvir Ahmed Vs The State etc (Mr. Justice Muhammad Tariq Nadeem) — https://sys.lhc.gov.pk/appjudgments/2026LHC4593.pdf (text retrieved 2026-08-10)
- 2022 LHC 6295 — MUHAMMAD RASHEED VS THE STATE ETC. (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2022LHC6295.pdf (text retrieved 2026-08-10)
- 2023 LHC 4041 — Sharafat Ali Vs The State etc (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2023LHC4041.pdf (text retrieved ",2025 LHC 846 — MUHAMMAD RIZWAN VS STATE ETC (Mr. Justice Muh; 2026 LHC 4593 — Tanvir Ahmed Vs The State etc (Mr. Justice M; 2022 LHC 6295 — MUHAMMAD RASHEED VS THE STATE ETC. (Mr. Just; 2023 LHC 4041 — Sharafat Ali Vs The State etc (Mr. Justice T,"[{""doc_type"": ""statute"", ""title"": ""Code of Criminal Procedure 1898"", ""section"": ""497""}]","bail restricted where reasonable grounds connect the accused to an offence punishable with death, life imprisonment, or ten years | court may grant bail to a person under sixteen, a woman, or a sick or infirm person",,
prod-sol,S-INT-007,S-INT,True,What is pre-arrest bail and under which provision is it granted in Pakistan?,False,"Pre-arrest bail is an extraordinary relief intended to protect a person from arbitrary arrest, harassment, or abuse of the legal process. It acts as a judicial check on police power where there is no incriminating material, sufficient ground, or valid purpose for arrest. High Courts and Courts of Session may grant it, while considering constitutional rights to liberty, dignity, due process, and fair trial.

The provided documents refer generally to the Code of Criminal Procedure, 1898, but do not identify the specific statutory provision under which pre-arrest bail is granted.
Sources:
- 2022 LHC 1464 — Waqar Hussain Bhatti Vs The State etc. (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2022LHC1464.pdf (text retrieved 2026-08-10)
- 2026 LHC 2859 — SYED MUHAMMAD ZAHID MUNAWAR VS THE STATE ETC. (Mr. Justice Muhammad Amjad Rafiq) — https://sys.lhc.gov.pk/appjudgments/2026LHC2859.pdf (text retrieved 2026-08-10)
- 2026 LHC 2918 — Nadeem Abbas Vs The State etc. (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2026LHC2918.pdf (text retrieved 2026-08-10)
- 2022 LHC 6295 — MUHAMMAD RASHEED VS THE STATE ETC. (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2022LHC6295.pdf (text retrieved 2026-08-10)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.",2022 LHC 1464 — Waqar Hussain Bhatti Vs The State etc. (Mr. ; 2026 LHC 2859 — SYED MUHAMMAD ZAHID MUNAWAR VS THE STATE ETC; 2026 LHC 2918 — Nadeem Abbas Vs The State etc. (Mr. Justice ; 2022 LHC 6295 — MUHAMMAD RASHEED VS THE STATE ETC. (Mr. Just,"[{""doc_type"": ""statute"", ""title"": ""Code of Criminal Procedure 1898"", ""section"": ""498""}]",High Court or Court of Session may direct release on bail before arrest | granted to protect against arrest intended for humiliation or ulterior motives,,
prod-sol,S-INT-008,S-INT,True,How is a First Information Report (FIR) registered and who may lodge it?,False,"For a **cognizable offence**, information is recorded under **section 154 of the Code of Criminal Procedure (Cr.P.C.)** in the First Information Report Register, maintained on **Form 24.5(1)** under **Rule 22.47 of the Police Rules, 1934**. Some provinces, including Punjab and Sindh, have digitized the FIR process.

For a **non-cognizable offence**, the information is entered in the **Daily Diary Register (Roznamcha)** under **section 155 Cr.P.C.** and **Rule 22.48 of the Police Rules, 1934**.

The provided documents do not specify who may lodge an FIR. They also indicate that FIR registration procedure is governed by the Cr.P.C. and Police Rules, rather than the Pakistan Penal Code.
Sources:
- Registration Act, 1908, pp. 1, 33 — https://pakistancode.gov.pk/pdffiles/administrator0f29bc9f1e3dfed37c0034eed1e29d53.pdf (text retrieved 2026-08-06)
- Registration of Foreigners Act, 1939, p. 1 — https://pakistancode.gov.pk/pdffiles/administratorc54694b004c4dbc6b8cc8b4b0c935e8a.pdf (text retrieved 2026-08-07)
- Law Reports Act, 1875, p. 1 — https://pakistancode.gov.pk/pdffiles/administrator6a99292b3c035d174ec9a048e24c56d3.pdf (text retrieved 2026-08-07)
- 2024 LHC 6439 — Muhammad Ahsan Vs The State etc (Mr. Justice Muhammad Amjad Rafiq) — https://sys.lhc.gov.pk/appjudgments/2024LHC6439.pdf (text retrieved 2026-08-10)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.","Registration Act, 1908; Registration of Foreigners Act, 1939; Law Reports Act, 1875; 2024 LHC 6439 — Muhammad Ahsan Vs The State etc (Mr. Justice","[{""doc_type"": ""statute"", ""title"": ""Code of Criminal Procedure 1898"", ""section"": ""154""}]","information relating to a cognizable offence given to an officer in charge of a police station | reduced to writing, read over to the informant, and signed",,
prod-sol,C-HOLD-009,C-HOLD,True,What did the Lahore High Court hold about bail in Muhammad Rizwan vs State?,False,"The Lahore High Court **allowed Muhammad Rizwan’s post-arrest bail petition**. It held that the alleged offences fell outside the prohibitory clause of section 497 Cr.P.C., where granting bail is the rule and refusal is the exception.

The Court noted that he had been detained since 7 November 2024, was no longer required for investigation, and there was no evidence that he would abscond or tamper with prosecution evidence. Bail was granted subject to a **PKR 1,000,000 bond with two sureties in the same amount**, to the trial court’s satisfaction. The Court clarified that its factual observations were tentative and would not affect the independent trial on merits.
Sources:
- 2025 LHC 846 — MUHAMMAD RIZWAN VS STATE ETC (Mr. Justice Muhammad Jawad Zafar) — https://sys.lhc.gov.pk/appjudgments/2025LHC846.pdf (text retrieved 2026-08-10)
- 2024 LHC 6145 — MUHAMMAD RIZWAN AHMED ALIAS BABLO VS THE STATE ETC (Mr. Justice Syed Shahbaz Ali Rizvi) — https://sys.lhc.gov.pk/appjudgments/2024LHC6145.pdf (text retrieved 2026-08-10)
- 2023 LHC 6616 — Ms Lahore Carpet Manufacturing Company through Mr. Syed Rizwan Tahir Vs Muhammad Jamil etc. (Mr. Justice Abid Hussain Chattha) — https://sys.lhc.gov.pk/appjudgments/2023LHC6616.pdf (text retrieved 2026-08-10)
- 2023 LHC 7721 — Muhammad Ashraf Vs The State etc (Mr. Justice Tariq Saleem Sheikh) — https://sys.lhc.gov.pk/appjudgments/2023LHC7721.pdf (text retrieved 2026-08-10)

This is research assistance, not legal advice. Statutes are amended — ope",2025 LHC 846 — MUHAMMAD RIZWAN VS STATE ETC (Mr. Justice Muh; 2024 LHC 6145 — MUHAMMAD RIZWAN AHMED ALIAS BABLO VS THE STA; 2023 LHC 6616 — Ms Lahore Carpet Manufacturing Company throu; 2023 LHC 7721 — Muhammad Ashraf Vs The State etc (Mr. Justic,"[{""doc_type"": ""judgment"", ""citation"": ""2025 LHC 846""}]",bail decision under section 497 CrPC principles,,
prod-sol,C-FACT-010,C-FACT,True,Which judge decided the case reported as 2025 LHC 846?,False,"The case reported as **2025 LHC 846** was decided by **Mr. Justice Muhammad Jawad Zafar** of the Lahore High Court, Multan Bench.
Sources:
- 2025 LHC 846 — MUHAMMAD RIZWAN VS STATE ETC (Mr. Justice Muhammad Jawad Zafar) — https://sys.lhc.gov.pk/appjudgments/2025LHC846.pdf (text retrieved 2026-08-10)
- Federal Constitutional Court Judges (Leave, Pension and Privileges) Order, 2025, p. 1 — https://pakistancode.gov.pk/pdffiles/administrator5c61099d4645b24e5499f9b1a2fa0317.pdf (text retrieved 2026-08-07)
- 2023 LHC 975 — Beenish . Vs Adj etc (Mr. Justice Anwaar Hussain) — https://sys.lhc.gov.pk/appjudgments/2023LHC975.pdf (text retrieved 2026-08-10)

This is research assistance, not legal advice. Statutes are amended — open the official text above and confirm the current wording before relying on it.","2025 LHC 846 — MUHAMMAD RIZWAN VS STATE ETC (Mr. Justice Muh; Federal Constitutional Court Judges (Leave, Pension and Priv; 2023 LHC 975 — Beenish . Vs Adj etc (Mr. Justice Anwaar Huss","[{""doc_type"": ""judgment"", ""citation"": ""2025 LHC 846""}]",Mr. Justice Muhammad Jawad Zafar,,
